id,review
1,Телефон работает быстро и батарея держит заряд целый день
2,Доставка задержалась на неделю и коробка пришла помятая
3,Качество звука у наушников отличное и бас очень приятный
4,Приложение постоянно зависает и пользоваться им неудобно
5,Куртка хорошо сшита и материал выглядит надежным
6,Вкус у йогурта обычный и ничего особенного я не заметил
7,Поддержка ответила быстро и помогла решить проблему
8,Пылесос шумит слишком сильно и плохо собирает шерсть
9,Отель оказался чистым а персонал был вежливым
10,Книга читается легко но сюжет показался слишком предсказуемым
